# TIME_STAMP_s,TIME_STAMP_ms,OR_TIME_STAMP_s,OR_TIME_STAMP_ms,COUNTER,INTERPOLATED,AF3,T7,Pz,T8,AF4,RAW_CQ,BATTERY,BATTERY_PERCENT,MarkerIndex,MarkerType,MarkerValueInt,MARKER_HARDWARE,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4,CQ_OVERALL,EQ_SampleRateQua,EQ_OVERALL,EQ_AF3,EQ_T7,EQ_Pz,EQ_T8,EQ_AF4
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.499999999999999343e-05,0.000000000000000000e+00,4.292820512820512760e-03,4.594358974358973488e-03,4.234871794871794548e-03,4.156410256410256014e-03,4.273333333333332977e-03,1.617499999999999841e-02,9.999999999999999547e-07,1.499999999999999869e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.999999999999999819e-06,3.999999999999999819e-06,1.999999999999999909e-06,3.999999999999999819e-06,3.999999999999999819e-06,8.299999999999999815e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.799999999999999859e-06,0.000000000000000000e+00,7.999999999999999638e-06,7.599999999999999063e-05,0.000000000000000000e+00,4.252820512820512655e-03,4.568717948717947869e-03,4.219999999999999793e-03,4.119999999999999531e-03,4.235384615384614818e-03,4.499999999999999877e-04,9.999999999999999547e-07,1.499999999999999869e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.999999999999999819e-06,3.999999999999999819e-06,1.999999999999999909e-06,3.999999999999999819e-06,3.999999999999999819e-06,8.299999999999999815e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.559999999999999972e-05,0.000000000000000000e+00,1.599999999999999928e-05,7.700000000000000139e-05,0.000000000000000000e+00,4.280512820512820220e-03,4.554358974358973383e-03,4.232820512820512603e-03,4.173333333333332715e-03,4.243076923076922330e-03,4.499999999999999877e-04,9.999999999999999547e-07,1.499999999999999869e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.999999999999999819e-06,3.999999999999999819e-06,1.999999999999999909e-06,3.999999999999999819e-06,3.999999999999999819e-06,8.299999999999999815e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.339999999999999958e-05,0.000000000000000000e+00,2.300000000000000002e-05,7.799999999999999859e-05,0.000000000000000000e+00,4.282564102564102165e-03,4.482051282051280686e-03,4.236923076923075626e-03,4.180512820512819958e-03,4.281538461538460759e-03,4.499999999999999877e-04,9.999999999999999547e-07,1.499999999999999869e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.999999999999999819e-06,3.999999999999999819e-06,1.999999999999999909e-06,3.999999999999999819e-06,3.999999999999999819e-06,8.299999999999999815e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.119999999999999944e-05,0.000000000000000000e+00,3.100000000000000135e-05,7.899999999999999579e-05,0.000000000000000000e+00,4.238974358974358439e-03,4.457948717948717610e-03,4.225128205128205090e-03,4.131794871794870934e-03,4.277948717948718005e-03,1.617499999999999841e-02,9.999999999999999547e-07,1.499999999999999869e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.999999999999999819e-06,3.999999999999999819e-06,1.999999999999999909e-06,3.999999999999999819e-06,3.999999999999999819e-06,8.299999999999999815e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.899999999999999929e-05,0.000000000000000000e+00,3.899999999999999929e-05,7.999999999999999299e-05,0.000000000000000000e+00,4.277948717948718005e-03,4.523076923076923064e-03,4.239487179487178709e-03,4.166666666666665741e-03,4.292820512820512760e-03,4.499999999999999877e-04,9.999999999999999547e-07,1.499999999999999869e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.999999999999999819e-06,3.999999999999999819e-06,1.999999999999999909e-06,3.999999999999999819e-06,3.999999999999999819e-06,8.299999999999999815e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.679999999999999915e-05,0.000000000000000000e+00,4.699999999999999724e-05,8.099999999999999019e-05,0.000000000000000000e+00,4.326666666666666161e-03,4.520512820512819982e-03,4.248717948717947897e-03,4.194871794871794443e-03,4.324615384615383348e-03,4.499999999999999877e-04,9.999999999999999547e-07,1.499999999999999869e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.999999999999999819e-06,3.999999999999999819e-06,1.999999999999999909e-06,3.999999999999999819e-06,3.999999999999999819e-06,8.299999999999999815e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.470000000000000144e-05,0.000000000000000000e+00,5.499999999999999518e-05,8.200000000000000095e-05,0.000000000000000000e+00,4.296923076923075784e-03,4.471794871794870958e-03,4.231282051282050927e-03,4.157435897435897421e-03,4.281538461538460759e-03,4.499999999999999877e-04,9.999999999999999547e-07,1.499999999999999869e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.999999999999999819e-06,3.999999999999999819e-06,1.999999999999999909e-06,3.999999999999999819e-06,3.999999999999999819e-06,8.299999999999999815e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.250000000000000130e-05,0.000000000000000000e+00,6.200000000000000270e-05,8.299999999999999815e-05,0.000000000000000000e+00,4.302564102564102218e-03,4.513846153846153009e-03,4.245641025641025412e-03,4.177435897435897473e-03,4.265128205128205195e-03,1.617499999999999841e-02,9.999999999999999547e-07,1.499999999999999869e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.999999999999999819e-06,3.999999999999999819e-06,1.999999999999999909e-06,3.999999999999999819e-06,3.999999999999999819e-06,8.299999999999999815e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.029999999999998761e-05,0.000000000000000000e+00,6.999999999999999387e-05,8.399999999999999535e-05,0.000000000000000000e+00,4.323589743589742809e-03,4.547179487179486140e-03,4.263589743589742652e-03,4.215897435897435035e-03,4.322564102564102270e-03,4.499999999999999877e-04,9.999999999999999547e-07,1.499999999999999869e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.999999999999999819e-06,3.999999999999999819e-06,1.999999999999999909e-06,3.999999999999999819e-06,3.999999999999999819e-06,8.299999999999999815e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
